	ESR1	PGR	ERBB2	MKI67
TCGA-3C-AAAU-01A	3.69107524851134	2.9753386277002996	5.043666224759269	3.31438336546314
TCGA-3C-AALI-01A	0.33639968963877803	0.11091980691022901	9.71766457458889	3.1070307295995803
TCGA-3C-AALJ-01A	4.68875186481245	1.29190371208252	5.63072781353187	2.08518252789739
TCGA-3C-AALK-01A	3.2214222696452404	2.93003820771989	7.31154465084746	2.29866523742352
TCGA-4H-AAAK-01A	4.3550864375412	3.8676276282521003	5.84428327225554	2.41641797602695
TCGA-5L-AAT0-01A	4.4968920580821194	1.65184378331202	5.38211306343382	1.43768855147115
TCGA-5L-AAT1-01A	3.9441212363540297	0.154772122378291	5.88017625266358	0.743259558501595
TCGA-5T-A9QA-01A	3.9978519607684904	0.49682886607751003	6.05183025395916	2.34351659120881
TCGA-A1-A0SB-01A	2.0360953896817904	0.0420606396156852	5.03316972441913	2.72650691067017
TCGA-A1-A0SD-01A	5.1670701458773705	1.6928374447778	5.94264311384203	2.6741077564118503
TCGA-A1-A0SE-01A	4.1085765002311305	4.56343969446344	5.499804660429571	3.0464772261690496
TCGA-A1-A0SF-01A	4.823861039493679	4.45773098387849	5.218204517931509	2.48497289773891
TCGA-A1-A0SG-01A	5.9399688703301	5.60575159558887	5.7083301122859	2.03403945391125
TCGA-A1-A0SH-01A	2.60387642272895	4.04720784378355	6.52587487155187	2.2583955104244597
TCGA-A1-A0SI-01A	3.9882780950528502	1.00225186247799	4.473329504483201	3.74951213410343
TCGA-A1-A0SJ-01A	4.23396245250711	3.75546740015859	5.55860610504359	3.48415202761052
TCGA-A1-A0SK-01A	0.0564636727922906	0.0379519553605385	1.3482628260110199	5.1468455811427
TCGA-A1-A0SM-01A	4.441104783481401	0.36170177016982896	9.81003018804574	2.63476428573951
TCGA-A1-A0SN-01A	5.669637945599871	2.5368949910014904	9.603485438913161	3.7687322882032204
TCGA-A1-A0SO-01A	0.0878227447569721	0.0586150065007275	5.6975212230351	5.65976404335953
TCGA-A1-A0SP-01A	0.593470362346903	0.140269498423781	3.9547310558845497	3.63169552940403
TCGA-A1-A0SQ-01A	5.6891544016985	4.858346806467259	4.939894924993361	2.68661123943016
TCGA-A2-A04N-01A	5.66738860009032	5.6614964048964405	4.842182359602719	1.79910941332612
TCGA-A2-A04P-01A	2.1314351442702497	0.0868572578890695	3.81066237714458	2.6184300577783195
TCGA-A2-A04Q-01A	0.567270631478874	0.47260045892973707	4.05868908024586	3.85606223910821
TCGA-A2-A04R-01A	5.32632464822162	4.12952664675204	5.29294292212102	3.9766824821454705
TCGA-A2-A04T-01A	0.155439249013297	0.0692124928606429	4.621357825912191	4.610000150941611
TCGA-A2-A04U-01A	0.0378872976406843	0.0361675500172371	3.54992224312846	3.7825089174940802
TCGA-A2-A04V-01A	5.60503238833941	0.507133540499523	5.6211886666545	2.76280981124275
TCGA-A2-A04W-01A	0.6662267141300761	0.148819344973528	8.935163816797472	3.0792521468549197
TCGA-A2-A04X-01A	2.45683370601999	2.1815373655018897	8.33462118181332	3.3976528954626204
TCGA-A2-A04Y-01A	4.51915143914021	1.69387889183792	5.1015590526086	3.14087728165702
TCGA-A2-A0CK-01A	3.5882318425438	2.8217432752551503	5.56367126658878	2.24361126191952
TCGA-A2-A0CL-01A	2.18931249597423	0.658572340657869	3.94181394511575	3.7591102750223797
TCGA-A2-A0CM-01A	0.661808875601395	0.0675908718986887	3.6284621766861203	4.51010930167159
TCGA-A2-A0CO-01A	4.453473808902371	1.8508105016165	5.5952404977202495	1.10817798120622
TCGA-A2-A0CP-01A	4.0513296063132	4.87513249308567	4.91844791893429	0.707088507566496
TCGA-A2-A0CQ-01A	5.699299453473429	3.56864369972339	4.98844540469705	2.29726947416198
TCGA-A2-A0CR-01A	3.16162199098141	2.85091761752316	4.44411422317138	1.7963134850948
TCGA-A2-A0CS-01A	6.15891319428136	3.6775061449869706	5.56464277618194	1.84865254134637
TCGA-A2-A0CT-01A	5.84105104628906	0.180869485312272	6.2982186714005195	2.6196460360058196
TCGA-A2-A0CU-01A	6.75539070395979	1.00821996203252	6.00977933427767	2.75360095279254
TCGA-A2-A0CV-01A	5.10134613819164	3.45378319420493	4.68896255782159	0.33934772824505394
TCGA-A2-A0CW-01A	6.21786000360788	3.3605359135294104	5.45813825365507	3.39718638697909
TCGA-A2-A0CX-01A	1.02309422245405	0.235774510931144	9.06453004565854	3.48442607642023
TCGA-A2-A0CY-01A	6.15951686282232	0.5326864291504549	4.5618058171959595	2.99788733723584
TCGA-A2-A0CZ-01A	2.9422053905498498	1.0787477612112	4.958588734807571	1.33084747581353
TCGA-A2-A0D0-01A	0.0969352589371408	0.0161421495855453	3.92024644596898	4.61702728996443
TCGA-A2-A0D1-01A	0.306721776109166	0.0687238201448137	8.728804189690441	3.8957184566144902
TCGA-A2-A0D2-01A	0.291257623803431	0.26901727909674106	4.23384598116895	4.57307231322413
TCGA-A2-A0D3-01A	5.349185645429429	5.2608518841341905	5.71029858725459	0.81956832919264
TCGA-A2-A0D4-01A	5.28386855996923	0.878791380329098	5.763165249781901	3.0935485666098796
TCGA-A2-A0EM-01A	6.01339981614992	6.03054138892279	5.24940306566863	2.06563088831264
TCGA-A2-A0EN-01A	4.8518460169762	0.299503929220389	5.01679443154312	2.0047024063718
TCGA-A2-A0EO-01A	4.80922255644741	5.152484586832831	5.94078954736046	2.09842425641878
TCGA-A2-A0EP-01A	3.2423134185177798	0.24233347044303302	3.5252151157482006	2.22781629452665
